CLASS	PHRASE	INFO	
process	process	One important cognitive process conducive to creativity is referred to as divergent thinking, or the ability to follow a variety of different trains of thought which sometimes leads to innovation. It is a misnomer that some people are born with creativity and others are not, because skills like divergent thinking can be practiced and improved!	
process	thinking	One important cognitive process conducive to creativity is referred to as divergent thinking, or the ability to follow a variety of different trains of thought which sometimes leads to innovation. It is a misnomer that some people are born with creativity and others are not, because skills like divergent thinking can be practiced and improved!	
process	think outside the box	One important cognitive process conducive to creativity is referred to as divergent thinking, or the ability to follow a variety of different trains of thought which sometimes leads to innovation. It is a misnomer that some people are born with creativity and others are not, because skills like divergent thinking can be practiced and improved!	
process	ideation	One important cognitive process conducive to creativity is referred to as divergent thinking, or the ability to follow a variety of different trains of thought which sometimes leads to innovation. It is a misnomer that some people are born with creativity and others are not, because skills like divergent thinking can be practiced and improved!	
process	redefine	Some scientists consider redefinition abilities or freedom from functional fixedness as important mental processes required for creativity. This means being able to think of an object as having a purpose other than its original use.	One important cognitive process conducive to creativity is referred to as divergent thinking, or the ability to follow a variety of different trains of thought which sometimes leads to innovation. It is a misnomer that some people are born with creativity and others are not, because skills like divergent thinking can be practiced and improved!
process	many responses	Psychologist J.P. Guilford created the Alternative Uses Task (which you performed earlier in this experiment) to measure one's creativity by their ability to ideate and think about exisiting things differently. One metric used for scoring is "fluency", meaning the higher number of responses the higher the score in this area. This is sometimes considered a flaw of this test, because "the person who is capable of producing a large number of ideas per unit of time, other things being equal, has a greater chance of having significant ideas".	
process	more responses	Psychologist J.P. Guilford created the Alternative Uses Task (which you performed earlier in this experiment) to measure one's creativity by their ability to ideate and think about exisiting things differently. One metric used for scoring is "fluency", meaning the higher number of responses the higher the score in this area. This is sometimes considered a flaw of this test, because "the person who is capable of producing a large number of ideas per unit of time, other things being equal, has a greater chance of having significant ideas".	
process	longer	Psychologist J.P. Guilford created the Alternative Uses Task (which you performed earlier in this experiment) to measure one's creativity by their ability to ideate and think about exisiting things differently. One metric used for scoring is "fluency", meaning the higher number of responses the higher the score in this area. This is sometimes considered a flaw of this test, because "the person who is capable of producing a large number of ideas per unit of time, other things being equal, has a greater chance of having significant ideas".	
process	many types of responses	One metric used to score the Alternative Uses Task is "flexibility" meaning the number of types of responses. For instance, using a cup to "hold a toothbrush" or as a "container for pencils" would be categorized as the same type of response.	
process	detail of responses	One metric used to score the Alternative Uses Task is "elaboration" meaning the detail of responses. Paricipants are given more points for a response like: "using a brick to prop open a door from a strong gust of wind" versus "a doorstop".	
process	think	One important cognitive process conducive to creativity is referred to as divergent thinking, or the ability to follow a variety of different trains of thought which sometimes leads to innovation. It is a misnomer that some people are born with creativity and others are not, because skills like divergent thinking can be practiced and improved!	
process	thought	One important cognitive process conducive to creativity is referred to as divergent thinking, or the ability to follow a variety of different trains of thought which sometimes leads to innovation. It is a misnomer that some people are born with creativity and others are not, because skills like divergent thinking can be practiced and improved!	
process	rethink	Some scientists consider redefinition abilities or freedom from functional fixedness as important mental processes required for creativity. This means being able to think of an object as having a purpose other than its original use.	
process	mental		
process	representation		
process	more	Psychologist J.P. Guilford created the Alternative Uses Task (which you performed earlier in this experiment) to measure one's creativity by their ability to ideate and think about exisiting things differently. One metric used for scoring is "fluency", meaning the higher number of responses the higher the score in this area. This is sometimes considered a flaw of this test, because "the person who is capable of producing a large number of ideas per unit of time, other things being equal, has a greater chance of having significant ideas".	
process	more answers	Psychologist J.P. Guilford created the Alternative Uses Task (which you performed earlier in this experiment) to measure one's creativity by their ability to ideate and think about exisiting things differently. One metric used for scoring is "fluency", meaning the higher number of responses the higher the score in this area. This is sometimes considered a flaw of this test, because "the person who is capable of producing a large number of ideas per unit of time, other things being equal, has a greater chance of having significant ideas".	
process	volume	Psychologist J.P. Guilford created the Alternative Uses Task (which you performed earlier in this experiment) to measure one's creativity by their ability to ideate and think about exisiting things differently. One metric used for scoring is "fluency", meaning the higher number of responses the higher the score in this area. This is sometimes considered a flaw of this test, because "the person who is capable of producing a large number of ideas per unit of time, other things being equal, has a greater chance of having significant ideas".	
process	variety	One metric used to score the Alternative Uses Task is "originality" meaning the unsualness of responses. If a list has a variety of different responses, it has a greater chances of producing unique ones.	
process	did not think of	One important cognitive process conducive to creativity is referred to as divergent thinking, or the ability to follow a variety of different trains of thought which sometimes leads to innovation. It is a misnomer that some people are born with creativity and others are not, because skills like divergent thinking can be practiced and improved!	
product	idea	The standard definition of creativity is "requiring originalness and effectiveness". This seems to apply most directly to creative products or responses. Creativity researcher, Dr. Teresa Amabile, describes that its not enough for products to be unusual, statistically infrequent, or completely unique, they must also be fit into the context of the problem they were designed for or meet the needs of the audience it addresses. Do you agree with this idea?	
product	product	The standard definition of creativity is "requiring originalness and effectiveness". This seems to apply most directly to creative products or responses. Creativity researcher, Dr. Teresa Amabile, describes that its not enough for products to be unusual, statistically infrequent, or completely unique, they must also be fit into the context of the problem they were designed for or meet the needs of the audience it addresses. Do you agree with this idea?	
product	response	The standard definition of creativity is "requiring originalness and effectiveness". This seems to apply most directly to creative products or responses. Creativity researcher, Dr. Teresa Amabile, describes that its not enough for products to be unusual, statistically infrequent, or completely unique, they must also be fit into the context of the problem they were designed for or meet the needs of the audience it addresses. Do you agree with this idea?	
product	use	The standard definition of creativity is "requiring originalness and effectiveness". This seems to apply most directly to creative products or responses. Creativity researcher, Dr. Teresa Amabile, describes that its not enough for products to be unusual, statistically infrequent, or completely unique, they must also be fit into the context of the problem they were designed for or meet the needs of the audience it addresses. Do you agree with this idea?	
product	specific	If a specific use stood out to you among the entire list, you are taking a product-based perspective on creativity. This could mean that rather than the person, the creative outcomes are more important to your evaluation of creativity. 	
product	unsual	If you chose a list for because the uses that felt very unique, you might value the originality or novelty of creative products. Interestingly, in studies of how culture affects evaluations of creativity, Western cultures tend to place greater importance on originality than usefulness.	
product	unique	If you chose a list for because the uses that felt very unique, you might value the originality or novelty of creative products. Interestingly, in studies of how culture affects evaluations of creativity, Western cultures tend to place greater importance on originality than usefulness.	
product	surprising	"Some theorists define creativity in terms of the response that the product produces in an observer. For example, Bruner(1962) saw the creative product as anything that produces ‘effective surprise’ in the observer, along with a ‘shock of recognition’ that the product or response is, although novel, is entirely appropriate” (Amabile, 1982)	
product	effective	If you chose a list for because the uses that felt well...useful, you might value the effectiveness or appropriateness of creative products. Interestingly, in studies of how culture affects evaluations of creativity, Eastern cultures tend to place greater importance on usefulness than originality.	
product	appropriate	If you chose a list for because the uses that felt well...useful, you might value the effectiveness or appropriateness of creative products. Interestingly, in studies of how culture affects evaluations of creativity, Eastern cultures tend to place greater importance on usefulness than originality.	
product	logical	If you chose a list for because the uses that felt well...useful, you might value the effectiveness or appropriateness of creative products. Interestingly, in studies of how culture affects evaluations of creativity, Eastern cultures tend to place greater importance on usefulness than originality.	
product	sensible	If you chose a list for because the uses that felt well...useful, you might value the effectiveness or appropriateness of creative products. Interestingly, in studies of how culture affects evaluations of creativity, Eastern cultures tend to place greater importance on usefulness than originality.	
product	new	If you chose a list for because the uses that felt very unique, you might value the originality or novelty of creative products. Interestingly, in studies of how culture affects evaluations of creativity, Western cultures tend to place greater importance on originality than usefulness.	
product	novel	If you chose a list for because the uses that felt very unique, you might value the originality or novelty of creative products. Interestingly, in studies of how culture affects evaluations of creativity, Western cultures tend to place greater importance on originality than usefulness.	
product	original	If you chose a list for because the uses that felt very unique, you might value the originality or novelty of creative products. Interestingly, in studies of how culture affects evaluations of creativity, Western cultures tend to place greater importance on originality than usefulness.	
press	context	If you chose a list because of how the uses seem to fit into a current time or greater context, you are thinking a lot about creativity from a press perspective, meaning how the relationship of the creativity to its greater context. The role of environment in creativity goes both ways: creativity can be suited to a certain domain or certain domains can be more conducive to producing creativity. For example school environments with ample physical space, availability of various materias, game-based approaches, and supportive teacher-student relationships are said to enhace creativity (Davies et al., 2013)	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)
press	environment	If you chose a list because of how the uses seem to fit into a current time or greater context, you are thinking a lot about creativity from a press perspective, meaning how the relationship of the creativity to its greater context. The role of environment in creativity goes both ways: creativity can be suited to a certain domain or certain domains can be more conducive to producing creativity. For example school environments with ample physical space, availability of various materias, game-based approaches, and supportive teacher-student relationships are said to enhace creativity (Davies et al., 2013)	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)
press	make sense	If you chose a list because of how the uses seem to fit into a current time or greater context, you are thinking a lot about creativity from a press perspective, meaning how the relationship of the creativity to its greater context. The role of environment in creativity goes both ways: creativity can be suited to a certain domain or certain domains can be more conducive to producing creativity. For example school environments with ample physical space, availability of various materias, game-based approaches, and supportive teacher-student relationships are said to enhace creativity (Davies et al., 2013)	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)
press	make sense in	If you chose a list because of how the uses seem to fit into a current time or greater context, you are thinking a lot about creativity from a press perspective, meaning how the relationship of the creativity to its greater context. The role of environment in creativity goes both ways: creativity can be suited to a certain domain or certain domains can be more conducive to producing creativity. For example school environments with ample physical space, availability of various materias, game-based approaches, and supportive teacher-student relationships are said to enhace creativity (Davies et al., 2013)	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)
press	contributes to society	Researchers often describe Eastern cultures as "collectivist", meaning the culture emphasizes creativity that contributes to the progress of society (Hempel & Sue-Chan, 2010). Thus, the value of creativity lies in the social and moral contributions an individual can make to the collective (Shao et al., 2019).	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)
press	makes contributions to society	Researchers often describe Eastern cultures as "collectivist", meaning the culture emphasizes creativity that contributes to the progress of society (Hempel & Sue-Chan, 2010). Thus, the value of creativity lies in the social and moral contributions an individual can make to the collective (Shao et al., 2019).	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)
press	motivation	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)
press	motivated	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)
press 	solves problems 	Researchers often describe Western culture as "individualist", meaning valuing the goals of individuals more than groups (Shao et al., 2019).  "Creativity is valued primarily for solving particular problems through insight or achieving personal success". (Shao et al., 2019)	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)
press 	solution	Researchers often describe Western culture as "individualist", meaning valuing the goals of individuals more than groups (Shao et al., 2019).  "Creativity is valued primarily for solving particular problems through insight or achieving personal success". (Shao et al., 2019)	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)
press	time	If you chose a list because of how the uses seem to fit into a current time or greater context, you are thinking a lot about creativity from a press perspective, meaning how the relationship of the creativity to its greater context. The role of environment in creativity goes both ways: creativity can be suited to a certain domain or certain domains can be more conducive to producing creativity. For example school environments with ample physical space, availability of various materias, game-based approaches, and supportive teacher-student relationships are said to enhace creativity (Davies et al., 2013)	Included in the idea of creative envrionments are motivations. Intrinsic motivation is motivation that comes from within. It is believed that if a person believes engaging in a task will be personally valuable, the task is conducive to creativity.However, extrinsic motivations, or outside motivation like the promise of rewards, praise, threat of failure, or bad criticism can be detrimental to creativity. (Amabile &. Pillemer, 2012)
